timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct
2,G06,15,8_1,DI73,TBSV_DI73,24.365,15.755,8.61
1,G03,30,8_1,DI73,TBSV_DI73,24.57666667,19.05666667,5.52
3,E07,35,8_10,TBSV,TBSV_DI72,24.915,17.44,7.475
2,A11,46,8_1,DI72,TBSV,25.21,14.685,10.525
1,A09,38,8_10,DI73,TBSV_DI73,25.38,18.91,6.47
1,A09,8,8_1,DI73,TBSV_DI73,25.59333333,36.46,-10.86666667
1,C11,27,4_9,DI73,TBSV,26.175,16.325,9.85
3,E05,49,8_1,DI72,TBSV_DI73,26.37,12.62,13.75
1,A12,3,8_10,DI73,TBSV_DI73,26.5,14.46,12.04
3,H09,16,8_10,DI73,TBSV_DI73,26.54,17.04,9.5
1,G06,14,8_10,DI73,TBSV_DI73,26.575,17.785,8.79
1,F04,32,3_23,TBSV,TBSV_DI72,26.58,19.66,6.92
2,G09,16,8_10,DI73,TBSV_DI73,26.62,16.65,9.97
2,A07,25,4_9,DI72,TBSV,26.75,18.115,8.635
1,G07,26,4_9,DI73,TBSV_DI73,26.82,12.82,14
1,C09,43,8_1,DI73,TBSV,26.925,17.905,9.02
1,A06,4,8_1,DI73,TBSV_DI73,27.135,17.99,9.145
2,C05,48,8_10,DI72,TBSV_DI73,27.155,15.98,11.175
3,G05,29,8_10,DI72,TBSV_DI73,27.22,40.1,-12.88
1,A12,14,8_1,DI73,TBSV,27.26,18.99,8.27
3,C08,33,8_10,DI72,TBSV_DI73,27.375,17.51,9.865
1,C03,18,8_1,DI73,TBSV,27.395,15.235,12.16
1,E09,17,8_10,DI73,TBSV_DI72,27.425,16.365,11.06
2,C05,42,8_10,DI72,TBSV,27.73,29.87,-2.14
1,C12,12,8_10,DI73,TBSV_DI72,28.115,14.01,14.105
3,C11,1,8_10,DI72,TBSV_DI73,28.365,23.27,5.095
1,C12,11,8_1,DI73,TBSV_DI72,28.95,16.94,12.01
3,G08,7,8_10,DI72,TBSV_DI73,28.99,1.81,27.18
1,A11,33,4_9,DI73,TBSV,29.08,13.195,15.885
2,C02,8,8_10,DI72,TBSV_DI73,29.11,18.97,10.14
2,C06,36,8_1,DI73,TBSV,29.235,12.11,17.125
3,C09,13,8_10,DI73,TBSV,29.32,13.29,16.03
1,C06,50,8_10,DI73,TBSV,29.365,11.065,18.3
2,C08,19,8_10,DI72,TBSV,29.4,21.205,8.195
1,A09,51,8_1,DI73,TBSV,29.425,16.095,13.33
2,C02,53,8_10,DI72,TBSV,29.47,30.38,-0.91
2,G03,20,8_1,DI73,TBSV_DI73,29.5,18.06,11.44
2,C09,48,8_1,DI73,TBSV,29.62,18.095,11.525
2,C06,34,8_1,DI73,TBSV_DI73,29.66,19.335,10.325
2,E03,39,8_10,DI73,TBSV_DI72,29.67,18.075,11.595
2,C07,12,3_23,DI72,TBSV,29.955,17.565,12.39
2,E03,7,8_1,DI73,TBSV_DI72,30.07,17.11,12.96
1,G09,16,8_1,DI73,TBSV_DI73,30.11,20.04,10.07
1,E03,5,8_1,DI73,TBSV_DI72,30.195,17.68,12.515
3,A11,46,8_10,DI72,TBSV,30.325,33.31,-2.985
2,G06,40,8_10,DI73,TBSV_DI73,30.39,17.99,12.4
1,C06,26,8_1,DI73,TBSV,30.515,19.87,10.645
3,A07,16,3_23,DI72,TBSV,30.605,15.97,14.635
3,E06,24,4_9,DI72,TBSV,30.81,17.375,13.435
3,C12,6,3_23,DI72,TBSV,30.925,16.21,14.715
