timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,dct_ratio,ddct_ratio
2,G10,33,3_23,DI73,TBSV_DI72,32.07,16.68,15.39,-55.765,0.00877193,-0.027723482
1,A09,5,8_10,DI73,TBSV,100,12.965,87.035,15.88,0.008961912,0.137972292
2,G07,21,4_9,DI73,TBSV_DI73,100,16.23,83.77,12.615,0.01145995,0.187950852
2,E12,41,8_1,DI73,TBSV_DI72,35.74,17.255,18.485,-52.67,0.012442521,-0.031156256
3,G03,4,3_23,DI73,TBSV_DI72,33.805,16.57,17.235,-53.92,0.012764723,-0.030248516
2,G06,15,8_1,DI73,TBSV_DI73,24.365,15.755,8.61,-62.545,0.015098722,-0.02463826
3,E12,45,8_1,DI73,TBSV_DI72,100,17.44,82.56,11.405,0.018834787,0.260061377
1,E06,13,8_1,DI73,TBSV_DI72,33.41,17.215,16.195,-54.96,0.01914171,-0.031313683
1,G10,9,3_23,DI73,TBSV_DI72,40.83,12.325,28.505,-42.65,0.025083319,-0.049847597
3,A10,10,4_9,DI73,TBSV_DI73,100,17.59,82.41,11.255,0.025725033,0.313727232
1,A10,33,4_9,DI72,TBSV,13.335,13.26,0.075,-51.712,0.02617801,-12.09354537
1,E03,5,8_1,DI73,TBSV_DI72,30.195,17.68,12.515,-58.64,0.029564523,-0.03037176
1,E02,28,3_23,DI72,TBSV_DI72,20.505,20.715,-0.21,-51.997,0.032357473,10.23764521
4,E06,30,8_1,DI73,rcvrd_leaf,100,14.125,85.875,7.849135802,0.033537118,-5.172968637
1,G07,26,4_9,DI73,TBSV_DI73,26.82,12.82,14,-57.155,0.033928571,-0.032997988
3,E03,33,8_1,DI73,TBSV_DI72,100,19.055,80.945,9.79,0.034406078,0.428600613
2,G09,33,3_23,DI72,TBSV_DI72,16.37,16.365,0.005,-51.782,0.037037037,-33.49417853
2,E03,7,8_1,DI73,TBSV_DI72,30.07,17.11,12.96,-58.195,0.03742284,-0.032580119
3,G10,17,3_23,DI73,TBSV_DI72,100,15.02,84.98,13.825,0.038597317,0.339312839
3,E03,27,8_1,DI73,TBSV_DI73,34.505,19.985,14.52,-56.635,0.042699725,-27.88527819
4,G06,18,8_1,DI73,rcvrd_leaf,100,13.54,86.46,8.434135802,0.047131622,-4.672480294
3,E09,22,8_1,DI73,TBSV_DI72,100,16.475,83.525,12.37,0.047650404,0.435812449
3,G02,28,4_9,DI73,TBSV,100,13.695,86.305,15.15,0.052951741,0.394785479
2,E12,8,4_9,DI73,TBSV,100,13.895,86.105,14.95,0.05324894,0.401070234
2,A11,16,4_9,DI73,TBSV,100,15.41,84.59,13.435,0.054734602,0.449646446
2,E03,11,3_23,DI73,TBSV_DI72,30.435,16.52,13.915,-57.24,0.057491915,-0.038626834
1,A05,4,8_1,DI72,TBSV_DI73,16.14,16.335,-0.195,-51.982,0.060842434,28.9754738
3,C03,9,8_1,DI73,TBSV,100,15.1005,84.8995,13.7445,0.064134653,0.498817709
3,A12,40,8_1,DI73,TBSV,100,17.38,82.62,11.465,0.065056887,0.591888356
3,G02,11,11_27,DI72,neg_plt,26.085,20.71,5.375,-12.0600463,0.066194581,-0.319753768
2,E02,39,8_10,DI72,TBSV_DI72,16.015,16.415,-0.4,-52.187,0.07497657,13.29943935
1,C08,5,11_27,DI72,neg_plt,27.715,21.515,6.2,-11.2350463,0.075513063,-0.29090009
1,A08,1,11_27,DI72,neg_plt,24.705,21.285,3.42,-14.0150463,0.076033793,-9.364173472
2,E02,7,11_27,DI72,neg_plt,33.18,26.005,7.175,-10.2600463,0.087676422,-0.267525435
3,E09,35,8_10,DI73,TBSV_DI72,100,17.1,82.9,11.745,0.090168878,0.756577267
2,E08,9,11_27,DI72,neg_plt,30.56,23.14,7.42,-10.0150463,0.093081603,-0.276416936
2,C12,17,8_1,DI73,TBSV_DI72,31.57,18.175,13.395,-57.76,0.094811497,-0.046416205
1,E09,39,8_1,DI73,TBSV_DI72,32.085,12.1005,19.9845,-51.1705,0.095073682,-0.06470525
1,A08,30,3_23,DI73,TBSV,100,11.875,88.125,16.97,0.10258156,0.615851503
2,A12,26,8_10,DI73,TBSV,38.78,10.695,28.085,-43.07,0.105928432,-0.101834223
1,G03,25,3_23,DI73,TBSV_DI72,29.57,13.03,16.54,-54.615,0.107920193,-0.058518722
2,E11,10,11_27,DI72,neg_plt,29.095,20.195,8.9,-8.535046296,0.110148515,-0.228719418
1,A11,2,11_27,DI72,neg_plt,34.06,25.55,8.51,-8.925046296,0.110218884,-0.264628769
2,E12,31,8_10,DI73,TBSV_DI72,100,12.83,87.17,16.015,0.113456464,0.705650952
1,C02,3,11_27,DI72,neg_plt,35.12,26.265,8.855,-8.580046296,0.114910459,-0.255535976
2,E05,8,11_27,DI72,neg_plt,30.55,21.065,9.485,-7.950046296,0.115354211,-0.205206615
