timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,dct_ratio,phenotype,recovery
2,G03,20,8_1,DI73,TBSV_DI73,29.5,18.06,11.44,-0.126311189,3.5,N
2,G09,37,8_1,DI73,TBSV_DI73,39,18.075,20.925,-0.082198327,3.5,N
2,C03,24,8_1,DI73,TBSV_DI73,100,32.08,67.92,-0.060070671,3.5,N
2,A12,46,8_1,DI73,TBSV,100,19.215,80.785,-0.035959646,3.5,N
2,G02,20,8_1,DI72,TBSV_DI73,16.255,16.205,0.05,-0.034602076,3.5,N
2,A09,32,8_1,DI73,TBSV,100,19.055,80.945,-0.028105504,3.5,N
2,E09,38,8_1,DI73,TBSV_DI72,40.32,16.775,23.545,0.002123593,3,N
2,E12,41,8_1,DI73,TBSV_DI72,35.74,17.255,18.485,0.012442521,3.5,N
2,G06,15,8_1,DI73,TBSV_DI73,24.365,15.755,8.61,0.015098722,3.5,N
2,E03,7,8_1,DI73,TBSV_DI72,30.07,17.11,12.96,0.03742284,3,N
2,C12,17,8_1,DI73,TBSV_DI72,31.57,18.175,13.395,0.094811497,3,N
2,C02,19,8_1,DI72,TBSV,16.23,14.97,1.26,0.333333333,3,N
2,E02,7,8_1,DI72,TBSV_DI72,15.84,15.63,0.21,0.432989691,3,N
2,C05,34,8_1,DI72,TBSV_DI73,15.155,17.305,-2.15,0.470459519,3.5,N
2,C05,36,8_1,DI72,TBSV,15.485,17.165,-1.68,0.651162791,3.5,N
2,E05,23,8_1,DI72,TBSV_DI72,16.24,14.06,2.18,1.055690073,4,N
2,G08,37,8_1,DI72,TBSV_DI73,19.1005,25.17,-6.0695,3.52877907,3.5,N
2,E11,41,8_1,DI72,TBSV_DI72,16.1,13.705,2.395,10.41304348,3.5,N
2,G05,15,8_1,DI72,TBSV_DI73,18.79,15.53,3.26,25.07692308,3.5,N
2,E06,23,8_1,DI73,TBSV_DI72,100,15.51,84.49,40.91525424,4,N
2,E08,38,8_1,DI72,TBSV_DI72,17.34,14.585,2.755,55.1,3,N
3,G06,29,8_1,DI73,TBSV_DI73,100,29.18,70.82,-31.33628319,3.5,N
3,E05,42,8_1,DI72,TBSV_DI72,15.985,15.21,0.775,-14.09090909,2,Y
3,G02,50,8_1,DI72,TBSV_DI73,17.27,16.995,0.275,-9.166666667,3.5,N
3,C11,3,8_1,DI72,TBSV_DI72,16.935,9.93,7.005,-8.439759036,2,Y
3,E05,49,8_1,DI72,TBSV_DI73,26.37,12.62,13.75,-6.223127404,2,N
3,A08,12,8_1,DI72,TBSV,30.94,17.41,13.53,-5.68487395,4,N
3,C08,31,8_1,DI72,TBSV,19.125,18.415,0.71,-0.153017241,4,N
3,C09,31,8_1,DI73,TBSV,100,41.34,58.66,-0.079099898,4,N
3,C12,3,8_1,DI73,TBSV_DI72,34.355,20.01,14.345,-0.057859881,2,Y
3,A09,12,8_1,DI73,TBSV,100,19.525,80.475,-0.029574402,4,N
3,E06,49,8_1,DI73,TBSV_DI73,100,14.855,85.145,-0.02594985,2,N
3,G09,2,8_1,DI73,TBSV_DI73,100,29.68,70.32,-0.016069397,4,N
3,C06,21,8_1,DI73,TBSV,100,32.57,67.43,-0.002891888,3.5,Y
3,G03,50,8_1,DI73,TBSV_DI73,42.465,10.66,31.805,-0.000943248,3.5,N
3,E06,42,8_1,DI73,TBSV_DI72,100,31.79,68.21,-0.000806333,2,Y
3,E12,45,8_1,DI73,TBSV_DI72,100,17.44,82.56,0.018834787,2,N
3,E03,33,8_1,DI73,TBSV_DI72,100,19.055,80.945,0.034406078,2,Y
3,E03,27,8_1,DI73,TBSV_DI73,34.505,19.985,14.52,0.042699725,4,N
3,E09,22,8_1,DI73,TBSV_DI72,100,16.475,83.525,0.047650404,2,N
3,C03,9,8_1,DI73,TBSV,100,15.1005,84.8995,0.064134653,2,N
3,A12,40,8_1,DI73,TBSV,100,17.38,82.62,0.065056887,2,Y
3,E02,27,8_1,DI72,TBSV_DI73,16.76,16.665,0.095,0.153225806,4,N
3,G05,29,8_1,DI72,TBSV_DI73,17.23,17.625,-0.395,0.174778761,3.5,N
3,A11,40,8_1,DI72,TBSV,18.135,16.305,1.83,0.340465116,2,Y
3,E11,45,8_1,DI72,TBSV_DI72,18.71,17.665,1.045,0.672025723,2,N
3,G08,2,8_1,DI72,TBSV_DI73,16.85,17.68,-0.83,0.734513274,4,N
3,C02,9,8_1,DI72,TBSV,18.31,13.64,4.67,0.857667585,2,N
3,E02,33,8_1,DI72,TBSV_DI72,17.33,14.735,2.595,0.931777379,2,Y
3,E08,22,8_1,DI72,TBSV_DI72,18.775,13.615,5.16,1.296482412,2,N
3,C05,21,8_1,DI72,TBSV,16.325,17.29,-0.965,4.948717949,3.5,Y
1,G02,41,8_10,DI72,TBSV_DI73,100,18.28,81.72,-51.55835962,2,N
1,C03,43,8_10,DI73,TBSV,100,16.215,83.785,-37.32071269,2,N
1,E05,54,8_10,DI72,TBSV_DI72,100,19.11,80.89,-33.21971253,2,N
1,C09,22,8_10,DI73,TBSV,37.01,25.565,11.445,-30.52,2.5,N
1,G08,2,8_10,DI72,TBSV_DI73,100,22.97,77.03,-17.0420354,2,N
1,C02,43,8_10,DI72,TBSV,32.475,18.09,14.385,-6.407572383,2,N
1,G09,2,8_10,DI73,TBSV_DI73,18.265,17.475,0.79,-5.721518987,2,N
1,C11,12,8_10,DI72,TBSV_DI72,17.1005,15.125,1.9755,-3.376923077,2.5,N
1,A11,3,8_10,DI72,TBSV_DI73,17.5,15.76,1.74,-1.731343284,2,N
1,C08,22,8_10,DI72,TBSV,17.21,16.665,0.545,-1.453333333,2.5,N
1,G05,14,8_10,DI72,TBSV_DI73,22.875,18.575,4.3,-1.405228758,2,N
1,A09,38,8_10,DI73,TBSV_DI73,25.38,18.91,6.47,-1.112055641,2,N
1,G06,14,8_10,DI73,TBSV_DI73,26.575,17.785,8.79,-0.348122867,2,N
1,E09,17,8_10,DI73,TBSV_DI72,27.425,16.365,11.06,-0.180379747,2.5,N
1,A12,3,8_10,DI73,TBSV_DI73,26.5,14.46,12.04,-0.083471761,2,N
1,C12,12,8_10,DI73,TBSV_DI72,28.115,14.01,14.105,-0.041474654,2.5,N
1,E06,54,8_10,DI73,TBSV_DI72,100,16.32,83.68,-0.029098948,2,N
1,G03,41,8_10,DI73,TBSV_DI73,100,15.915,84.085,-0.018849973,2,N
1,A09,5,8_10,DI73,TBSV,100,12.965,87.035,0.008961912,1.5,N
1,E03,47,8_10,DI73,TBSV_DI72,31.035,14.92,16.115,0.168166305,2,N
1,E08,17,8_10,DI72,TBSV_DI72,17.565,18,-0.435,0.218045113,2.5,N
1,C05,50,8_10,DI72,TBSV,13.605,12.41,1.195,0.218664227,1,N
1,A08,38,8_10,DI72,TBSV_DI73,17.205,19.01,-1.805,0.250868659,2,N
1,C06,50,8_10,DI73,TBSV,29.365,11.065,18.3,0.29863388,1,N
1,E11,27,8_10,DI72,TBSV_DI72,17.64,12.835,4.805,0.434056007,1,N
1,E02,47,8_10,DI72,TBSV_DI72,17.9,16.35,1.55,0.57195572,2,N
1,E12,27,8_10,DI73,TBSV_DI72,100,10.9,89.1,8.048780488,1,N
1,A11,51,8_10,DI72,TBSV,100,13.88,86.12,93.60869565,2,N
1,A12,51,8_10,DI73,TBSV,100,11.595,88.405,96.0923913,2,N
1,A08,5,8_10,DI72,TBSV,100,15.605,84.395,108.1987179,1.5,N
2,C09,19,8_10,DI73,TBSV,100,16.51,83.49,-16.698,3,N
2,A09,10,8_10,DI73,TBSV,34.115,18.91,15.205,-5.243103448,3,N
2,C05,48,8_10,DI72,TBSV_DI73,27.155,15.98,11.175,-4.478957916,1,N
2,C03,8,8_10,DI73,TBSV_DI73,19.285,17.095,2.19,-2.390410959,3,N
2,C02,8,8_10,DI72,TBSV_DI73,29.11,18.97,10.14,-1.936962751,3,N
2,C08,19,8_10,DI72,TBSV,29.4,21.205,8.195,-1.639,3,N
2,E08,44,8_10,DI72,TBSV_DI72,16.535,12.125,4.41,-1.274566474,2.5,N
2,E05,49,8_10,DI72,TBSV_DI72,16.185,12.57,3.615,-1.185245902,2.5,N
2,C06,48,8_10,DI73,TBSV_DI73,18.825,15.99,2.835,-0.880070547,1,N
2,G03,25,8_10,DI73,TBSV_DI73,20.25,16.26,3.99,-0.832080201,2.5,N
2,G02,25,8_10,DI72,TBSV_DI73,22.08,19.67,2.41,-0.725903614,2.5,N
2,A11,26,8_10,DI72,TBSV,15.535,17.29,-1.755,-0.589915966,4,N
2,E03,39,8_10,DI73,TBSV_DI72,29.67,18.075,11.595,-0.460112117,4,N
2,G09,16,8_10,DI73,TBSV_DI73,26.62,16.65,9.97,-0.424272818,3,N
2,G06,40,8_10,DI73,TBSV_DI73,30.39,17.99,12.4,-0.388709677,3,N
2,C06,42,8_10,DI73,TBSV,41.115,17.175,23.94,-0.206558062,2,N
2,E06,49,8_10,DI73,TBSV_DI72,37.185,18.43,18.755,-0.1626233,2.5,N
2,C12,52,8_10,DI73,TBSV_DI72,31.765,15.865,15.9,-0.098742138,2.5,N
2,C03,53,8_10,DI73,TBSV,100,19.37,80.63,-0.050539501,3,N
2,E09,44,8_10,DI73,TBSV_DI72,100,20.52,79.48,-0.043532964,2.5,N
2,E02,39,8_10,DI72,TBSV_DI72,16.015,16.415,-0.4,0.07497657,4,N
2,A12,26,8_10,DI73,TBSV,38.78,10.695,28.085,0.105928432,4,N
2,E12,31,8_10,DI73,TBSV_DI72,100,12.83,87.17,0.113456464,1,N
2,C02,53,8_10,DI72,TBSV,29.47,30.38,-0.91,0.223312883,3,N
2,E11,31,8_10,DI72,TBSV_DI72,16.78,13.99,2.79,0.282103134,1,N
2,C05,42,8_10,DI72,TBSV,27.73,29.87,-2.14,0.432760364,2,N
2,G05,40,8_10,DI72,TBSV_DI73,16.97,20.1,-3.13,0.649377593,3,N
2,G08,16,8_10,DI72,TBSV_DI73,15.71,19.94,-4.23,1,3,N
2,C11,52,8_10,DI72,TBSV_DI72,16.33,21.535,-5.205,3.315286624,2.5,N
2,A08,10,8_10,DI72,TBSV,15.38,100,-84.62,29.17931034,3,N
3,A09,24,8_10,DI73,TBSV,38.8,17.41,21.39,-19.44545455,2.5,N
3,G08,7,8_10,DI72,TBSV_DI73,28.99,1.81,27.18,-5.960526316,4,N
3,A08,24,8_10,DI72,TBSV,17.025,11.34,5.685,-5.168181818,2.5,N
3,H03,25,8_10,DI73,TBSV_DI73,20.31,16.29,4.02,-1.082089552,2.5,N
3,H02,25,8_10,DI72,TBSV_DI73,22.25,18.82,3.43,-0.788505747,2.5,N
3,C03,32,8_10,DI73,TBSV,35.825,24.265,11.56,-0.784602076,4,N
3,C11,1,8_10,DI72,TBSV_DI73,28.365,23.27,5.095,-0.737871108,4,N
3,C08,33,8_10,DI72,TBSV_DI73,27.375,17.51,9.865,-0.621613106,4,N
3,E06,15,8_10,DI73,TBSV_DI72,34.825,24.22,10.605,-0.495992456,3.5,Y
3,H09,16,8_10,DI73,TBSV_DI73,26.54,17.04,9.5,-0.444210526,3,N
3,C09,13,8_10,DI73,TBSV,29.32,13.29,16.03,-0.442919526,4,N
3,G09,7,8_10,DI73,TBSV_DI73,32.72,22.09,10.63,-0.4289746,4,N
