timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,dct_ratio,method
3,G10,17,3_23,DI73,TBSV_DI72,100,15.02,84.98,0.038597317,agro
3,E03,27,8_1,DI73,TBSV_DI73,34.505,19.985,14.52,0.042699725,agro
4,G06,18,8_1,DI73,rcvrd_leaf,100,13.54,86.46,0.047131622,agro
3,E09,22,8_1,DI73,TBSV_DI72,100,16.475,83.525,0.047650404,agro
3,G02,28,4_9,DI73,TBSV,100,13.695,86.305,0.052951741,agro
2,E12,8,4_9,DI73,TBSV,100,13.895,86.105,0.05324894,agro
2,A11,16,4_9,DI73,TBSV,100,15.41,84.59,0.054734602,agro
2,E03,11,3_23,DI73,TBSV_DI72,30.435,16.52,13.915,0.057491915,agro
1,A05,4,8_1,DI72,TBSV_DI73,16.14,16.335,-0.195,0.060842434,agro
3,C03,9,8_1,DI73,TBSV,100,15.1005,84.8995,0.064134653,agro
3,A12,40,8_1,DI73,TBSV,100,17.38,82.62,0.065056887,agro
3,G02,11,11_27,DI72,neg_plt,26.085,20.71,5.375,0.066194581,agro
2,E02,39,8_10,DI72,TBSV_DI72,16.015,16.415,-0.4,0.07497657,agro
1,C08,5,11_27,DI72,neg_plt,27.715,21.515,6.2,0.075513063,agro
1,A08,1,11_27,DI72,neg_plt,24.705,21.285,3.42,0.076033793,agro
2,E02,7,11_27,DI72,neg_plt,33.18,26.005,7.175,0.087676422,agro
3,E09,35,8_10,DI73,TBSV_DI72,100,17.1,82.9,0.090168878,agro
2,E08,9,11_27,DI72,neg_plt,30.56,23.14,7.42,0.093081603,agro
2,C12,17,8_1,DI73,TBSV_DI72,31.57,18.175,13.395,0.094811497,agro
1,E09,39,8_1,DI73,TBSV_DI72,32.085,12.1005,19.9845,0.095073682,agro
1,A08,30,3_23,DI73,TBSV,100,11.875,88.125,0.10258156,agro
2,A12,26,8_10,DI73,TBSV,38.78,10.695,28.085,0.105928432,agro
1,G03,25,3_23,DI73,TBSV_DI72,29.57,13.03,16.54,0.107920193,agro
2,E11,10,11_27,DI72,neg_plt,29.095,20.195,8.9,0.110148515,agro
1,A11,2,11_27,DI72,neg_plt,34.06,25.55,8.51,0.110218884,agro
2,E12,31,8_10,DI73,TBSV_DI72,100,12.83,87.17,0.113456464,agro
1,C02,3,11_27,DI72,neg_plt,35.12,26.265,8.855,0.114910459,agro
2,E05,8,11_27,DI72,neg_plt,30.55,21.065,9.485,0.115354211,agro
3,G06,na,unk,DI72,neg_plt,28.655,18.73,9.925,0.115959808,agro
3,G05,12,11_27,DI72,neg_plt,34.155,24.81,9.345,0.116907487,agro
2,C10,3,3_23,DI72,TBSV,17.1005,17.775,-0.6745,0.118959436,agro
3,G11,14,11_27,DI72,neg_plt,30.355,20.315,10.04,0.121387982,agro
1,C05,4,11_27,DI72,neg_plt,30.92,20.32,10.6,0.127980682,agro
3,G08,13,11_27,DI72,neg_plt,31.265,20.545,10.72,0.12986069,agro
4,E12,35,8_1,DI73,rcvrd_leaf,30.94,11.41,19.53,0.143113159,agro
3,E02,27,8_1,DI72,TBSV_DI73,16.76,16.665,0.095,0.153225806,agro
3,E02,36,8_10,DI72,TBSV_DI72,33.095,19.695,13.4,0.161445783,agro
4,E09,38,8_1,DI73,rcvrd_leaf,33.65,8.72,24.93,0.161652627,agro
2,C12,6,11_27,DI73,neg_plt,100,20.605,79.395,0.168083632,agro
1,E03,47,8_10,DI73,TBSV_DI72,31.035,14.92,16.115,0.168166305,agro
2,G11,37,8_10,DI72,neg_plt,29.61,14.88,14.73,0.168960771,agro
3,H11,37,8_10,DI72,neg_plt,30.06,15.21,14.85,0.170181068,agro
3,G05,29,8_1,DI72,TBSV_DI73,17.23,17.625,-0.395,0.174778761,agro
1,A11,33,4_9,DI73,TBSV,29.08,13.195,15.885,0.180358829,agro
3,C11,21,8_10,DI72,TBSV_DI72,32.53,17.095,15.435,0.189189189,agro
3,E05,19,3_23,DI72,TBSV_DI72,16.58,16.64,-0.06,0.214285714,agro
