timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,2pwrneg_ddct,log_2pwrneg_ddct,method
2,G08,3,4_9,TBSV,TBSV_DI73,14.38,14.39,-0.01,1.401,0.378666579,-0.421743024,agro
2,E04,30,4_9,TBSV,TBSV_DI73,13.725,15.215,-1.49,-0.079,1.056285625,0.02378137,agro
2,G05,21,4_9,TBSV,TBSV_DI73,17.07,16.11,0.96,2.371,0.193311584,-0.71374212,agro
2,E01,22,4_9,TBSV,TBSV_DI73,14.765,16.28,-1.515,-0.104,1.074749173,0.03130712,agro
2,G01,14,4_9,TBSV,TBSV_DI73,13.74,17.03,-3.29,-1.879,3.678200185,0.565635362,agro
2,A05,na,8_1,DI72,neg_ctrl,36.13,100,-63.87,,,,agro
2,A04,na,8_1,TBSV,neg_ctrl,31.075,25.88,5.195,,,,agro
2,G11,na,8_1,DI72,neg_plt,42.005,10.1,31.905,,,,agro
2,G12,na,8_1,DI73,neg_plt,100,11.3,88.7,,,,agro
2,G10,na,8_1,TBSV,neg_plt,31.23,11.035,20.195,,,,agro
2,A02,na,8_1,DI72,pos_ctrl,10.495,23.275,-12.78,,,,agro
2,A03,na,8_1,DI73,pos_ctrl,12.665,29.71,-17.045,,,,agro
2,A01,na,8_1,TBSV,pos_ctrl,9.19,22.595,-13.405,,,,agro
2,A11,46,8_1,DI72,TBSV,25.21,14.685,10.525,-41.262,2.64E+12,12.42109968,agro
2,C02,19,8_1,DI72,TBSV,16.23,14.97,1.26,-50.527,1.62E+15,15.21014259,agro
2,C08,48,8_1,DI72,TBSV,17.23,16.75,0.48,-51.307,2.79E+15,15.44494599,agro
2,A08,32,8_1,DI72,TBSV,17.88,17.15,0.73,-51.057,2.34E+15,15.36968849,agro
2,C05,36,8_1,DI72,TBSV,15.485,17.165,-1.68,-53.467,1.25E+16,16.09517078,agro
2,C06,36,8_1,DI73,TBSV,29.235,12.11,17.125,-54.03,1.84E+16,16.26465067,agro
